Gare;Date/Heure;Catégorie;Nom de la Source;Annonce restranscrite par ECHO;Annonce réelle;Durée en sec;Nom du mp3
Achères Grand Cormier;Tue, 29 Aug 2023 14:39:09;SN;Direct;Madame, Monsieur, Bonjour, il est actuellement 14 h et 39 Min. Si vous empruntez la ligne A du RER, je vous informe que le trafic un restera toujours ralenti et ce jusqu'à 15h00 entre Nantes donc voici marne-la-vallée-chessy, cela fait suite à un bagage oublié par un voyageur à bord d'un RER en gare de Maisons-Laffitte et par la suite un malaise de voyageur survenu à bord. Même RER. Prévoir donc des ralentissements, des suppressions, encore des modifications de desserte. Vous avez la possibilité de Retrouvez toutes ces informations sur Île-de-France Mobilités Transilien. Point com ou encore SNCF connecte votre application de mobilité Madame Monsieur, je vous remercie de votre écoute.;Madame, Monsieur, Bonjour, il est actuellement 14 h et 39 Min. Si vous empruntez la ligne A du RER, je vous informe que le trafic un restera toujours ralenti et ce jusqu'à 15h00 entre Nantes donc voici marne-la-vallée-chessy, cela fait suite à un bagage oublié par un voyageur à bord d'un RER en gare de Maisons-Laffitte et par la suite un malaise de voyageur survenu à bord du même RER. Prévoir donc des ralentissements, des suppressions, encore des modifications de desserte. Vous avez la possibilité de Retrouvez toutes ces informations sur Île-de-France Mobilités ,Transilien.com ou encore SNCF connecte votre application de mobilité Madame Monsieur, je vous remercie de votre écoute.;36.31;0087386052-DCT-20230829-143909-3a26eb9a-b09e-4730-b594-a79da8b3308f.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 29 Aug 2023 12:08:35;SN;Direct;Mais Monsieur le voie, je vous invite à patienter devant les portes de vos voitures. En effet, votre ouigo est actuellement en cours de préparation. Merci à tous, c'est votre écoute et je reviens vers vous donc quelques instants.;Mesdames, Monsieurs en voie A , je vous invite à patienter devant les portes de vos voitures. En effet, votre ouigo est actuellement en cours de préparation. Merci à tous, de votre écoute et je reviens vers vous donc quelques instants.;14.30;0087686006-Pupitre_COE_2_gauche-20230829-120835-45987f3e-828c-4533-b163-3834f5806b14.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 29 Aug 2023 12:10:23;SN;Direct;Mais Monsieur, je vous informe que le TGV lyria 9213 12h22 pour Zurich aura un retard de 15 Min. Ceci fait suite à la présence d'un bagage oublier à bord. Mais Monsieur je répète le TGV derrière 9213 12h22 pour Zurich va subir un retard de 15 Min au départ de notre gare, ceci à cause de la découverte d'un bagage. Oublier à bord mais Monsieur, merci à tous de votre écoute.;Mesdames, Monsieurs, je vous informe que le TGV lyria 9213, 12h22 pour Zurich aura un retard de 15 Min. Ceci fait suite à la présence d'un bagage oublier à bord. Mesdames, Monsieurs, je répète le TGV derrière 9213, 12h22 pour Zurich va subir un retard de 15 Min au départ de notre gare, ceci à cause de la découverte d'un bagage oublier à bord. Mesdames, Monsieurs, merci à tous de votre écoute.;31,78;0087686006-Pupitre_COE_2_gauche-20230829-121023-69714200-c080-4882-bd3c-99a98d6aff10.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 29 Aug 2023 12:14:28;SN;Direct;Mais Monsieur, nous recherchons toujours activement le ou la propriétaire d'une valise rouge laissée à la voie 11 voiture 16 dans le TGV en provenance de Genève. Donc si le ou la propriétaire de cette valise rouge est toujours présent, il est prié de venir récupérer immédiatement à la voie 11 voiture 16 et ceci avant l'intervention des forces de l'ordre.;Mesdames, Monsieurs, nous recherchons toujours activement le ou la propriétaire d'une valise rouge laissée à la voie 11 voiture 16 dans le TGV en provenance de Genève. Donc si le ou la propriétaire de cette valise rouge est toujours présent, il est prié de venir récupérer immédiatement à la voie 11 voiture 16 et ceci avant l'intervention des forces de l'ordre.;23,85;0087686006-Pupitre_COE_2_gauche-20230829-121428-a0d93bf1-50af-4d47-9ece-5e2b19a0ec52.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 29 Aug 2023 12:23:52;SN;Direct;Madame, Monsieur, à la voie votre ouigo 7125 pour Marseille maintenant accessible, je vous invite à monter à bord. Il faisait tous un excellent voyage.;Mesdames, Monsieurs, à la voie votre ouigo 7125 pour Marseille est maintenant accessible, je vous invite à monter à bord. Et vous souhaitez à tous un excellent voyage.;13,6;0087686006-Pupitre_COE_2_gauche-20230829-122352-4d59d71f-4921-43ef-ad2c-9b1a5569d47a.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 10:13:11;SN;Direct;Mesdames, Messieurs, votre attention, s'il vous plaît, je reviens vers les voyageurs du TGV inouï numéro 6107 à destination de Marseille pour un départ initialement prévu à 09h38. Votre embarquement vient de débuter à la voie des accessible depuis le hall numéro un. Je répète, pour les voyageurs à destination de Marseille, avec un départ initialement prévu à 09h38 sur le TGV inouï. Numéro 6107, votre embarquement vient de débuter à la voie d ? Accessible depuis le hall numéro un. Mesdames, Messieurs, je vous remercie pour votre patience et vous souhaite un très bon voyage.;Mesdames, Messieurs, votre attention, s'il vous plaît, je reviens vers les voyageurs du TGV inouï numéro 6107 à destination de Marseille pour un départ initialement prévu à 09h38. Votre embarquement vient de débuter à la voie des accessible depuis le hall numéro un. Je répète, pour les voyageurs à destination de Marseille, avec un départ initialement prévu à 09h38 sur le TGV inouï. Numéro 6107, votre embarquement vient de débuter à la voie D. Accessible depuis le hall numéro un. Mesdames, Messieurs, je vous remercie pour votre patience et vous souhaite un très bon voyage.;44,34;0087686006-Pupitre_COE_2_gauche-20230815-101311-1c9d0b81-edf8-4888-a3b9-76e2fa41bd4c.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 14:10:48;SN;Direct;Salut. Madame, Monsieur Jean, ferme les voyageurs du train Trenitalia, 6651, départ 14h26 à destination de Lyon Perrache, que votre accueil embarquement vient de débuter sur la voie h depuis le hall un et uniquement depuis le hall numéro un.;Mesdames, Monsieurs j'informent les voyageurs du train Trenitalia 6651, départ 14h26 à destination de Lyon Perrache, que votre accueil embarquement vient de débuter sur la voie h depuis le hall un et uniquement depuis le hall numéro un.;16,26;0087686006-Pupitre_COE_2_gauche-20230815-141048-c38a22b5-ef1b-4c0f-a324-8bc6907615b7.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 14:25:46;SN;Direct;Salut. Mesdames, Messieurs, j'informe les voyageurs du. TER Bourgogne 891009 départ initialement prévu 14h46 à destination de Laroche Migennes. Que votre télé R subi un retard au départ de 15 Min ? En effet, nous sommes en attente de votre train qui a pris du retard lors de sa mission précédente. Je vous communiquerait sa voie de départ dès que possible. Merci de rester attentif aux annonces ainsi que au panneau d'affichage.;Mesdames, Messieurs, j'informe les voyageurs du TER Bourgogne 891009 départ initialement prévu 14h46 à destination de Laroche Migennes. Que votre télé TER subira un retard au départ de 15 Min En effet, nous sommes en attente de votre train qui a pris du retard lors de sa mission précédente. Je vous communiquerait sa voie de départ dès que possible. Merci de rester attentif aux annonces ainsi que au panneau d'affichage.;31,65;0087686006-Pupitre_COE_2_gauche-20230815-142546-efed67d4-ce91-448b-9597-32c285c84180.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 14:32:01;SN;Direct;Mais là, Messieurs, votre attention, s'il vous plaît, le ou la propriétaire d'une valise cabine de couleur grise laissé sans surveillance dans le pré, ta manger du hall un est prié de récupérer de toute urgence son bagage avant intervention des forces de l'ordre. Je répète le ou la propriétaire d'une valise cabine grise laissé sans surveillance dans le pré ta manger du hall un est prié de récupérer son bagage immédiatement.;Mesdames, Messieurs, votre attention, s'il vous plaît, le ou la propriétaire d'une valise cabine de couleur grise laissé sans surveillance dans le prêt-à-manger du hall un est prié de récupérer de toute urgence son bagage avant intervention des forces de l'ordre. Je répète le ou la propriétaire d'une valise cabine grise laissé sans surveillance dans  le prêt-à-manger du hall un est prié de récupérer son bagage immédiatement.;24;0087686006-Pupitre_COE_2_gauche-20230815-143201-5d95db29-2e06-4b50-acae-3f2a53a7d8a1.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 14:47:51;SN;Direct;Madame, Monsieur, votre attention, s'il vous plaît, le ou la propriétaire de la valise cabine de couleur grise laissé sans surveillance dans le pré, ta manger du hall un est prié de récupérer son bagage de toute urgence avant intervention des forces de l'ordre. Merci.;Mesdames, Monsieurs, votre attention, s'il vous plaît, le ou la propriétaire de la valise cabine de couleur grise laissé sans surveillance dans le prêt-à-manger du hall un est prié de récupérer son bagage de toute urgence avant intervention des forces de l'ordre. Merci.;17,22;0087686006-Pupitre_COE_2_gauche-20230815-144751-accbf29d-0b4c-433f-ab2e-7eb1614fd8ab.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 14:51:28;SN;Direct;Monsieur, j'informe les voyageurs de la ligne R que votre Transilien 150 à 1849 départs 15h13 pour Montargis est en place et accessible sur la voie. Elle.;Mesdames, Monsieurs, j'informe les voyageurs de la ligne R que votre Transilien 150 à 1849 départs à 15h13 pour Montargis est en place et accessible sur la voie L;13,14;0087686006-Pupitre_COE_2_gauche-20230815-145128-058db405-04c8-47e5-a545-95071fdcaf9b.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 16:23:07;SN;Direct;Madame Monsieur, l'embarquement du Tr 891011 à destination de Laroche Migennes. Sur la voie elle, du hall un et Hall 3 Messieurs dames. Les voyageurs désirant se rendre à destination de Laroche Migennes, je vous informe que votre TER est désormais accessible depuis le hall numéro 3 et hall numéro un. Départ prévu 16h46 Madame, Monsieur, merci de votre attention.;Madame, Monsieur, l'embarquement du TER 891011 à destination de Laroche Migennes. Sur la voie L, du hall 1 et Hall 3. Mesdames Monsieurs, les voyageurs désirant se rendre à destination de Laroche Migennes, je vous informe que votre TER est désormais accessible depuis le hall numéro 3 et hall numéro un. Départ prévu 16h46 Madame, Monsieur, merci de votre attention.;24,77;0087686006-Pup_Sec_COE_Droite-20230815-162307-cb629621-49bb-495f-b409-f0e5fb197472.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 16:56:53;SN;Direct;Messieurs dames, Bonjour, vous êtes en gare de Paris gare de Lyon. Le train actuellement à quai sur la voie en est à destination de Montargis. Le départ est prévu. A 17h16. Je vous remercie de votre attention.;Messieurs dames, Bonjour, vous êtes en gare de Paris gare de Lyon. Le train actuellement à quai sur la voie N est à destination de Montargis. Le départ est prévu. A 17h16. Je vous remercie de votre attention.;21,41;0087686006-Pup_Sec_COE_Droite-20230815-165653-27366c83-826f-4cb3-b625-899f279938f6.mp3
Paris Gare de Lyon Hall 1 & 2;Tue, 15 Aug 2023 17:34:34;SN;Direct;Messieurs dames, je vous informe que actuellement sur la voie un, votre TER 891015 à destination de Laroche Migennes. Départ prévu 17h46. Attention sur la voie M votre TER à destination de Laroche Migennes. Départ prévu 17h46. Je vous informe que celui-ci ira directement jusqu'à Melun et desservir à toutes les gares jusqu'à la roche Migennes, son terminus. Madame Monsieur, merci de votre attention.;Messieurs dames, je vous informe que actuellement sur la voie M, votre TER 891015 à destination de Laroche Migennes. Départ prévu 17h46. Attention sur la voie M votre TER à destination de Laroche Migennes. Départ prévu 17h46. Je vous informe que celui-ci ira directement jusqu'à Melun et desservir à toutes les gares jusqu'à la roche Migennes, son terminus. Madame Monsieur, merci de votre attention.;30,63;0087686006-Pup_Sec_COE_Droite-20230815-173434-b7fd7b67-0e9b-4049-a1b6-4ac5f4cb9667.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 15:45:35;SN;Direct;Pouvoir, 22, 24. Je vous rappelle que le prochain train à destination de Paris se trouve actuellement à quai à la voie 21. Je répète que le prochain départ à destination de Paris se fera de la voie 21.;Voie 22, 24. Je vous rappelle que le prochain train à destination de Paris se trouve actuellement à quai à la voie 21. Je répète que le prochain départ à destination de Paris se fera de la voie 21.;11,61;0087271460-DCT-20230817-154535-230ac6b8-69dc-4fe0-9dee-a65fe142d782.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 18:35:19;SN;Direct;Ceci est un message de service, Monsieur Dimitri, que vous avez oublié votre carton pour emballer votre vélo au guichet. Je vous invite donc à vous et Andrea récupérer votre bagage, répète Monsieur Dimitri. Qui qui est off, vous avez oublié un carton à emballer les vélos devant le guichet, vous vous êtes donc prié de vous y rendre et de récupérer votre bagage.;Ceci est un message de service, Monsieur Dimitri Kitov, vous avez oublié votre carton pour emballer votre vélo au guichet. Je vous invite donc à vous et Andrea récupérer votre bagage, répète Monsieur Dimitri Kirtov. Vous avez oublié un carton à emballer les vélos devant le guichet, vous vous êtes donc prié de vous y rendre et de récupérer votre bagage.;26,13;0087271460-DCT-20230817-183519-617732bb-f5fe-4731-b8ae-138f5bdb6852.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 20:22:05;SN;Direct;Bachar, faut trafic ligne B, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 20h30 20h20 2 h pour moi de vous faire un point sur la circulation actuellement l'aéroport Roissy-Charles-de-Gaulle de n'ai pas desservir jusqu'à 01h00 estimée 2 21 h en raison d'une procédure de affaires oubliées pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France Mobilités site transilien.comratp.fr, SNCF connecter ou l'application de mobilités. Merci de votre attention.;Flash Info trafic ligne B, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 20h30, 20h22  l'heure pour moi de vous faire un point sur la circulation actuellement l'aéroport Roissy-Charles-de-Gaulle 2 n'ai pas desservir jusqu'à 01h00 estimée de 21 h en raison d'une procédure de affaires oubliées. Pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France Mobilités site transilien.comratp.fr, SNCF connecter ou l'application de mobilités. Merci de votre attention.;26,44;0087001479-DCT-20230817-202205-8671d291-bf7d-4422-ab65-dc37e8686086.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 20:27:35;SN;Direct;Voie avant tout 2 je vous rappelle que plus aucun train le monde jusqu'à l'aéroport Roissy Charles-de-Gaulle 2 donc le train actuellement à quai et terminus son prochain départ se fera en direction de Paris. J'ai envie donc tous les voyageurs à descendre de ce train en n'oubliant pas vos effets personnels. Je répète, voie 22 2 le train actuellement à quai, il terminus pour les voyageurs souhaitant se rendre à l'aéroport Roissy Charles de Gaulle 2 je vous invite à monter d'un étage et aller prendre la navette, s'est dit Geval. Merci de votre attention.;Voie 22, je vous rappelle que plus aucun train ne monte jusqu'à l'aéroport Roissy Charles-de-Gaulle 2 donc le train actuellement à quai et terminus son prochain départ se fera en direction de Paris. Tous les voyageurs à descendre de ce train en n'oubliant pas vos effets personnels. Je répète, voie 22  le train actuellement à quai, il terminus pour les voyageurs souhaitant se rendre à l'aéroport Roissy Charles de Gaulle 2 je vous invite à monter d'un étage et aller prendre la navette, CDG Val. Merci de votre attention.e;27,34;0087271460-DCT-20230817-202735-9eff33cd-a27b-46ec-a62c-c74eb3dccee5.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 20:30:10;SN;Direct;À la vente vente 3. Je vous rappelle que le train actuellement à quai par sera le premier départ à destination de Paris sont départ se fera dans quelques instants. Je répète voir 23 prochain départ à destination de Paris. Le départ de ce train se fera dans quelques instants.;À la voie 23. Je vous rappelle que le train actuellement à quai par sera le premier départ à destination de Paris sont départ se fera dans quelques instants. Je répète voie 23 prochain départ à destination de Paris. Le départ de ce train se fera dans quelques instants.;16,56;0087271460-DCT-20230817-203010-33e7f9ba-319f-4d90-b252-9549d8fc02f5.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 21:52:15;SN;Direct;Clash INFO trafic ligne B, les 21h52, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voies en gare du Nord souterraine. Prévoyez des allongement de temps. Parcours des modifications de desserte. Voir aussi les suppressions surtout, restez bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France mobilités, les site transilien.comratp.fr, SNCF Connect ou encore votre rapide mobilités.;Flash INFO trafic ligne B, les 21h52, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voies en gare du Nord souterraine. Prévoyez des allongement de temps. Parcours des modifications de desserte. Voir aussi les suppressions surtout, restez bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France mobilités, les site transilien.comratp.fr, SNCF Connect ou encore votre rapide mobilités.;34,55;0087001479-DCT-20230817-215215-54094fed-48ac-4822-8a75-3b289b0e6dbe.mp3
Aéroport Charles de Gaulle 1;Thu, 17 Aug 2023 21:55:22;SN;Direct;Clash INFO trafic ligne B, les 21h55, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voir en gare souterraine à en gare du Nord. Prévoyez des allongement de temps de parcours, des modifications de desserte. Voir aussi les suppressions, restez donc bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France Mobilités, il est situétransilien.comratp.fr SNCF Connect ou encore votre rapide mobilités.;Flash INFO trafic ligne B, les 21h55, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voir en gare souterraine à en gare du Nord. Prévoyez des allongement de temps de parcours, des modifications de desserte. Voir aussi les suppressions, restez donc bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France Mobilités,  et les sites transilien.com, ratp.fr, SNCF Connect ou encore votre rapide mobilités.;27,46;0087001479-DCT-20230817-215521-0c0c6443-98bc-4c97-9132-78527acfab82.mp3
Aéroport Charles de Gaulle 1;Fri, 18 Aug 2023 06:50:37;SN;Direct;Essai 2, sonorisation, voie 22, voie 24, essai de sonorisation.;Essai de sonorisation, voie 22, voie 24, essai de sonorisation.;4,4;0087271460-DCT-20230818-065037-503c040c-f50e-4ac1-be63-c8273ce09810.mp3
Aéroport Charles de Gaulle 1;Sat, 19 Aug 2023 18:35:55;SN;Direct;Madame Monsieur, prochain départ en direction de Paris à la voie 21, voie 21. Ce train desservira les gares données sous bois parinor et au rapport au terminus Fontaine Michalon, voie 21. Prochain départ en direction de Paris.;Madame Monsieur, prochain départ en direction de Paris à la voie 21, voie 21. Ce train desservira les gares d'Aulnay-sous-bois, Paris Nord et aura pour terminus Fontaine Michalon, voie 21. Prochain départ en direction de Paris.;13,07;0087271460-DCT-20230819-183555-c8297e6d-7a47-4a12-9026-a3233850931d.mp3
Aéroport Charles de Gaulle 1;Sun, 20 Aug 2023 09:24:09;SN;Direct;La Messieurs actuellement à quai à la voie numéro 23. Votre prochain départ à destination de l'aéroport Charles-de-Gaulle 2 à la voie 23, actuellement à quai. Votre prochain départ à destination de l'aéroport Charles-de-Gaulle 2. Je vous rappelle que le train actuellement à quai, la voie 21 est un train qui va se diriger en direction de Paris dans quelques minutes.;Mesdames, Monsieurs  actuellement à quai à la voie numéro 23. Votre prochain départ à destination de l'aéroport Charles-de-Gaulle 2 à la voie 23, actuellement à quai. Votre prochain départ à destination de l'aéroport Charles-de-Gaulle 2. Je vous rappelle que le train actuellement à quai, la voie 21 est un train qui va se diriger en direction de Paris dans quelques minutes.;17,62;0087271460-DCT-20230820-092409-372dec05-ac2c-4dbb-a97b-c620b8ca57e3.mp3
Aéroport Charles de Gaulle 1;Mon, 21 Aug 2023 12:00:17;SN;Direct;Info trafic, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 12h00 l'heure pour moi de vous faire avoir sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche des travaux sont en cours. En effet, jusqu'au 27 août. Ta vie jusqu'au 25 août, le trafic est interrompu entre pour la reine et repense poursuivre en temps réel de l'évolution de votre ligne. Je vous invite à consulter les applications Île-de-France mobilités des sites transfert.comratp.fr SNCF connectant votre appli 2 mobilités. Je vous souhaite à tous et à toutes une agréable journée.;Flash Info trafic, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 12h00 l'heure pour moi de vous faire avoir sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche des travaux sont en cours. En effet, jusqu'au 27 août. Bagnolet n'est pas deservie jusqu'au 25 août, le trafic est interrompu entre pour la reine et repense poursuivre en temps réel de l'évolution de votre ligne. Je vous invite à consulter les applications Île-de-France mobilités des sites transfert.comratp.fr SNCF connectant votre appli 2 mobilités. Je vous souhaite à tous et à toutes une agréable journée.;34,65;0087001479-DCT-20230821-120017-3699f5df-00a5-401b-addb-637f6fcbf0e4.mp3
